action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001286_dribbling basketball_to_sweeping floor_ClamGMwUegM_000002_000012_bg_LNMNZZ4g51I_000047_000057,dribbling basketball,sweeping floor,playing bass guitar,sweeping floor,playing accordion,dribbling basketball,surfing water,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001287_skiing slalom_to_eating cake_gfux7QZsXGg_000172_000182_bg_IQb0YDHhT-o_000051_000061,skiing slalom,eating cake,flying kite,eating cake,shooting basketball,skiing slalom,cleaning windows,4,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001288_skipping rope_to_golf driving_3lTTjrrl3-w_000027_000037_bg_6CbAI0QPeSM_000001_000011,skipping rope,golf driving,walking the dog,sword fighting,dunking basketball,golf driving,skipping rope,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001289_playing basketball_to_writing_ocJaiKOm55g_000048_000058_bg_wOgPUpQzPBI_000259_000269,playing basketball,writing,writing,sword fighting,golf driving,playing basketball,playing trumpet,4,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001290_driving car_to_hitting baseball_-5EkeE4syvA_000006_000016_bg_5-jBTNp5IQA_000075_000085,driving car,hitting baseball,hitting baseball,shooting goal (soccer),drinking,driving car,reading newspaper,4,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001291_bowling_to_golf driving_5Vu8HJ__eMg_000277_000287_bg_6CbAI0QPeSM_000001_000011,bowling,golf driving,opening bottle,writing,playing saxophone,golf driving,bowling,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001292_juggling soccer ball_to_playing violin_3JzBgr6wxlo_000101_000111_bg_h4A9pRoceIQ_000041_000051,juggling soccer ball,playing violin,reading book,playing violin,juggling soccer ball,flying kite,golf driving,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001293_reading newspaper_to_playing piano_gKqKWn6Nl0A_000035_000045_bg_FWkNC3y4s5I_000004_000014,reading newspaper,playing piano,playing saxophone,driving car,playing piano,reading newspaper,smoking,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001294_playing tennis_to_catching or throwing frisbee_3cohYreibXk_000031_000041_bg_jKqDnoY4S5s_000001_000011,playing tennis,catching or throwing frisbee,playing tennis,shooting basketball,catching or throwing frisbee,drinking,bowling,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001295_reading book_to_playing trumpet_T-jJFnP0oDA_000004_000014_bg_jwYikLyqs0k_000002_000012,reading book,playing trumpet,tying tie,reading book,brushing hair,playing trumpet,skiing slalom,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001296_skiing slalom_to_playing tennis_c8L5gnF1-sw_000034_000044_bg_b8zqp7thCkM_000105_000115,skiing slalom,playing tennis,walking the dog,skiing slalom,tying tie,drinking,playing tennis,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001297_playing bass guitar_to_skipping rope__5cvAd0KAk4_000159_000169_bg_xzXJJIni2hQ_000238_000248,playing bass guitar,skipping rope,catching or throwing baseball,shooting goal (soccer),brushing teeth,playing bass guitar,skipping rope,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001298_tying tie_to_surfing water_Nbr7vfA0a6s_000077_000087_bg_g42jMCq1E4Q_000081_000091,tying tie,surfing water,tying tie,brushing hair,driving car,surfing water,eating cake,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001299_drinking_to_dribbling basketball_6tRQJ5KdSIE_000000_000010_bg_6FC0IVAWQc4_000266_000276,drinking,dribbling basketball,driving car,walking the dog,brushing hair,dribbling basketball,drinking,5,4,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001300_smoking_to_playing volleyball_6tB4dFW137k_000058_000068_bg_XPacZXZ8wcM_000743_000753,smoking,playing volleyball,writing,playing volleyball,deadlifting,playing piano,smoking,5,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001301_hurdling_to_surfing water_k_p_QdDeGCM_000005_000015_bg_huD7LQBrg2k_000057_000067,hurdling,surfing water,playing volleyball,surfing water,cleaning windows,playing violin,hurdling,5,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001302_driving car_to_archery_bWLksTAnuFE_000019_000029_bg_mnUVG7T6iKg_000109_000119,driving car,archery,archery,bowling,flying kite,driving car,sword fighting,4,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001303_flying kite_to_hurdling_I84fWDl0fRg_000000_000010_bg_JlwpQhOj8Wo_000001_000011,flying kite,hurdling,hurdling,shooting basketball,eating cake,flying kite,juggling balls,4,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001304_playing piano_to_canoeing or kayaking_rzO_awjsvVI_000000_000010_bg_SJfxkFQjS8o_000083_000093,playing piano,canoeing or kayaking,playing piano,juggling soccer ball,playing accordion,playing violin,canoeing or kayaking,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001305_juggling balls_to_golf driving_I-qfHgz3nLk_000012_000022_bg_8qNOLE8Du7c_000003_000013,juggling balls,golf driving,playing saxophone,golf driving,reading newspaper,canoeing or kayaking,juggling balls,5,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001306_dunking basketball_to_eating ice cream_IxnPLK1iczo_000005_000015_bg_fBfHb2lGbHM_000078_000088,dunking basketball,eating ice cream,playing guitar,sword fighting,eating ice cream,archery,dunking basketball,5,3,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001307_tying tie_to_climbing a rope_iYHlztQWOA0_000050_000060_bg_SPFk5J-0pXk_000015_000025,tying tie,climbing a rope,juggling soccer ball,driving car,tying tie,playing bass guitar,climbing a rope,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001308_canoeing or kayaking_to_punching person (boxing)_0V61r7VFl9E_000179_000189_bg_tEdzFdrwopw_000008_000018,canoeing or kayaking,punching person (boxing),playing violin,punching person (boxing),playing trumpet,dunking basketball,canoeing or kayaking,5,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001309_walking the dog_to_writing_Dhas1rn3di4_000069_000079_bg_1CsdGt3DM7g_000421_000431,walking the dog,writing,brushing hair,walking the dog,writing,climbing a rope,punching person (boxing),2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001310_playing piano_to_juggling soccer ball_4mQP7S4EGwg_000020_000030_bg_2WgOKCYyL7g_000084_000094,playing piano,juggling soccer ball,playing piano,juggling soccer ball,dribbling basketball,eating cake,hitting baseball,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001311_playing trumpet_to_walking the dog_2gi1aSciYmE_000012_000022_bg_4wXi68bINr4_000020_000030,playing trumpet,walking the dog,flying kite,walking the dog,playing trumpet,playing bass guitar,skipping rope,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001312_archery_to_reading newspaper_27jJKXiB9Y8_000009_000019_bg_Ym7j7tGDWJA_000578_000588,archery,reading newspaper,skiing (not slalom or crosscountry),bowling,shooting goal (soccer),archery,reading newspaper,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001313_walking the dog_to_cleaning windows_xX2PVUErcbE_000015_000025_bg_jIwEkMWm-mQ_000009_000019,walking the dog,cleaning windows,playing guitar,walking the dog,cleaning windows,catching or throwing frisbee,playing tennis,2,3,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001314_playing guitar_to_catching or throwing frisbee_RN-9jbSuO-U_000157_000167_bg_RlFMUo-__JE_000017_000027,playing guitar,catching or throwing frisbee,catching or throwing frisbee,playing violin,climbing ladder,tying tie,playing guitar,5,1,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001315_tying tie_to_playing saxophone_eLyyjoO43p4_000000_000010_bg_ZnIDviwA8CE_000117_000127,tying tie,playing saxophone,playing saxophone,shooting goal (soccer),tying tie,cleaning windows,deadlifting,3,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001316_playing guitar_to_dribbling basketball_H9XWa152whU_000333_000343_bg_aAp4MpIc6zg_000043_000053,playing guitar,dribbling basketball,deadlifting,punching person (boxing),playing guitar,playing volleyball,dribbling basketball,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001317_sweeping floor_to_shooting goal (soccer)_X-7v1WHkTgk_000020_000030_bg_DJbURDUh07s_000004_000014,sweeping floor,shooting goal (soccer),skipping rope,bowling,sweeping floor,shooting goal (soccer),dunking basketball,3,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001318_smoking_to_dunking basketball_ID55j2rq1sc_000007_000017_bg_S5b7-MnHens_000003_000013,smoking,dunking basketball,eating ice cream,opening bottle,dunking basketball,smoking,climbing a rope,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001319_climbing ladder_to_brushing teeth_R_xk3fPqWqo_000016_000026_bg_r95HrwQa8lk_000008_000018,climbing ladder,brushing teeth,eating ice cream,smoking,golf driving,brushing teeth,climbing ladder,5,4,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001320_playing trumpet_to_juggling balls_2gi1aSciYmE_000012_000022_bg_xtSBE8LFhXY_000029_000039,playing trumpet,juggling balls,juggling balls,brushing hair,playing trumpet,walking the dog,playing violin,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001321_skipping rope_to_juggling soccer ball_gn97KDKen_U_000053_000063_bg_WadYg_wkEFQ_000098_000108,skipping rope,juggling soccer ball,dunking basketball,playing bass guitar,skipping rope,juggling soccer ball,playing trumpet,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001322_clean and jerk_to_brushing hair_B98EOBpM5YQ_000017_000027_bg_-Gio3hF5OA0_000036_000046,clean and jerk,brushing hair,clean and jerk,playing basketball,playing accordion,brushing hair,dunking basketball,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001323_playing tennis_to_shooting basketball_5tz1GXB4otY_000085_000095_bg_u6PXN2gCiwY_000005_000015,playing tennis,shooting basketball,playing tennis,shooting basketball,playing bass guitar,drinking,bowling,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001324_hurdling_to_writing_0uXd4qQfICw_000026_000036_bg_HuDvSHEG36E_000045_000055,hurdling,writing,sword fighting,shooting basketball,writing,playing guitar,hurdling,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001325_shooting goal (soccer)_to_opening bottle_JCwEbNqgn2k_000042_000052_bg_2EPtfi-GFSw_000030_000040,shooting goal (soccer),opening bottle,shooting goal (soccer),walking the dog,opening bottle,brushing hair,playing tennis,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001326_skipping rope_to_playing piano_dg8_9piDoIw_000007_000017_bg_mTp_dGXH_yM_000205_000215,skipping rope,playing piano,playing saxophone,reading newspaper,hurdling,skipping rope,playing piano,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001327_playing tennis_to_reading book_04qp3eQSmJc_000106_000116_bg_BFYBAg9fSL4_000388_000398,playing tennis,reading book,reading newspaper,reading book,catching or throwing baseball,surfing water,playing tennis,5,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001328_hitting baseball_to_eating cake_Zp9aDp2YTBw_000002_000012_bg_dQcNfbY0hwg_000037_000047,hitting baseball,eating cake,bowling,tying tie,hitting baseball,juggling balls,eating cake,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001329_playing violin_to_skiing slalom_P24qs_4ZX0c_000000_000010_bg_9yqjAckuPM0_000136_000146,playing violin,skiing slalom,skiing slalom,catching or throwing frisbee,skiing (not slalom or crosscountry),playing violin,reading book,4,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001330_brushing teeth_to_sweeping floor_8NStNQyjIXI_000054_000064_bg_lKvx-KAJsKQ_000024_000034,brushing teeth,sweeping floor,playing piano,surfing water,sweeping floor,bowling,brushing teeth,5,3,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001331_dunking basketball_to_drinking_qeDi7i1XXhM_000068_000078_bg_ypxLrXNUcUo_000075_000085,dunking basketball,drinking,sweeping floor,opening bottle,drinking,dunking basketball,skiing slalom,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001332_juggling soccer ball_to_archery_SfS9njrU-bQ_000029_000039_bg_h6d2C-RWOTw_000003_000013,juggling soccer ball,archery,hitting baseball,archery,playing basketball,juggling soccer ball,shooting goal (soccer),4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001333_catching or throwing frisbee_to_surfing water_fUzOLT_MHww_000019_000029_bg_WwJkHR_-Vao_000025_000035,catching or throwing frisbee,surfing water,brushing hair,smoking,surfing water,tying tie,catching or throwing frisbee,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001334_brushing teeth_to_playing piano_5G-5aOnyDwo_000016_000026_bg_WWDphFwocAM_000053_000063,brushing teeth,playing piano,climbing a rope,playing piano,playing accordion,tying tie,brushing teeth,5,2,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001335_playing volleyball_to_cleaning windows_Djgz_dNVPjA_000069_000079_bg_Dk3DiAp2yAU_000029_000039,playing volleyball,cleaning windows,cleaning windows,sword fighting,hitting baseball,canoeing or kayaking,playing volleyball,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001336_sword fighting_to_driving car_-mx34h7Cfik_000008_000018_bg_QkLN_QBF1hI_000174_000184,sword fighting,driving car,playing violin,driving car,sword fighting,skipping rope,brushing teeth,3,2,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001337_playing tennis_to_shooting goal (soccer)_eVOwQGj0ImI_000464_000474_bg_vPUFfffOxRM_000000_000010,playing tennis,shooting goal (soccer),playing trumpet,eating ice cream,shooting goal (soccer),playing tennis,climbing ladder,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001338_bowling_to_catching or throwing frisbee_MKv1mkOcom8_000000_000010_bg_RVFuHGeytLs_000002_000012,bowling,catching or throwing frisbee,opening bottle,surfing water,catching or throwing frisbee,bowling,hitting baseball,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001339_brushing hair_to_punching person (boxing)_i4ddhWXmitw_000001_000011_bg_Cs-CfeLNspE_000126_000136,brushing hair,punching person (boxing),reading newspaper,opening bottle,brushing hair,punching person (boxing),juggling soccer ball,3,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001340_climbing ladder_to_playing violin_CPOL0ueBo4U_000010_000020_bg_h4A9pRoceIQ_000041_000051,climbing ladder,playing violin,smoking,golf driving,playing guitar,playing violin,climbing ladder,5,4,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001341_tying tie_to_skiing slalom_6ZvmpZzG2-I_000052_000062_bg_qDkeQe8eaak_000015_000025,tying tie,skiing slalom,tying tie,skipping rope,skiing slalom,dribbling basketball,sword fighting,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001342_playing accordion_to_reading book_qzL4t7E-ZNw_000013_000023_bg_F6Z0vch07n8_000036_000046,playing accordion,reading book,drinking,reading book,walking the dog,punching person (boxing),playing accordion,5,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001343_juggling soccer ball_to_surfing water_cVCLApgzN58_000009_000019_bg_-G_tgkmqChg_000072_000082,juggling soccer ball,surfing water,surfing water,juggling soccer ball,canoeing or kayaking,dribbling basketball,smoking,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001344_cleaning windows_to_brushing hair_ZqlAPN0DEl4_000024_000034_bg_aXPsBVPYG_I_000029_000039,cleaning windows,brushing hair,cleaning windows,playing piano,brushing hair,archery,eating cake,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001345_smoking_to_sweeping floor_jVP9TvFvrAk_000112_000122_bg_dK8V0bB-m18_000000_000010,smoking,sweeping floor,playing trumpet,playing guitar,dribbling basketball,smoking,sweeping floor,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001346_playing basketball_to_tying tie_pXM6GD0EtcU_000283_000293_bg_DIrYfnfogiA_000148_000158,playing basketball,tying tie,surfing water,deadlifting,playing basketball,eating ice cream,tying tie,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001347_flying kite_to_reading newspaper_3dnRiA5pSwU_000024_000034_bg_2rXmwP0xXEY_000066_000076,flying kite,reading newspaper,flying kite,reading newspaper,opening bottle,drinking,playing bass guitar,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001348_cleaning windows_to_climbing a rope_UPHhBfx0L34_000008_000018_bg_C8_aYXTrthw_000050_000060,cleaning windows,climbing a rope,shooting basketball,clean and jerk,cleaning windows,climbing a rope,shooting goal (soccer),3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001349_canoeing or kayaking_to_skiing (not slalom or crosscountry)_0L4kvkUfs1U_000265_000275_bg_3GUtkq_GmaA_000016_000026,canoeing or kayaking,skiing (not slalom or crosscountry),writing,eating ice cream,playing saxophone,skiing (not slalom or crosscountry),canoeing or kayaking,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001350_catching or throwing frisbee_to_hitting baseball_YfH1ToPwjj4_000001_000011_bg_6hrcRyIYTrA_000026_000036,catching or throwing frisbee,hitting baseball,catching or throwing frisbee,eating ice cream,playing volleyball,shooting goal (soccer),hitting baseball,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001351_golf driving_to_reading book_V3rzNdo3LmQ_000000_000010_bg_nfkBGTL57Fg_000141_000151,golf driving,reading book,dunking basketball,eating ice cream,golf driving,reading book,driving car,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001352_tying tie_to_hitting baseball_QQp6IfJInQc_000105_000115_bg_-DJHkPsixLM_000004_000014,tying tie,hitting baseball,playing guitar,hitting baseball,playing basketball,juggling soccer ball,tying tie,5,2,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001353_climbing ladder_to_archery_HxsXFx953aA_000027_000037_bg_2x1lIrgKxYo_000589_000599,climbing ladder,archery,archery,reading book,climbing ladder,surfing water,hitting baseball,3,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001354_climbing a rope_to_sword fighting_C8_aYXTrthw_000050_000060_bg_dygKWahj16U_000087_000097,climbing a rope,sword fighting,catching or throwing frisbee,climbing a rope,skipping rope,drinking,sword fighting,2,5,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001355_reading newspaper_to_climbing ladder_cXsQwIVDsKY_000004_000014_bg_PQ94yoXfTxk_000017_000027,reading newspaper,climbing ladder,playing violin,catching or throwing baseball,reading newspaper,flying kite,climbing ladder,3,5,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001356_playing piano_to_eating ice cream_M1X8UKqQDvA_000074_000084_bg_uMBxs4F5dwo_000018_000028,playing piano,eating ice cream,bowling,playing piano,walking the dog,skiing slalom,eating ice cream,2,5,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001357_shooting basketball_to_juggling balls_jtLfNWOsQcg_000013_000023_bg_kc6fQ0_aS1U_000392_000402,shooting basketball,juggling balls,shooting basketball,catching or throwing baseball,clean and jerk,juggling balls,reading book,1,4,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001358_eating ice cream_to_surfing water_4qY0sJQYohk_000008_000018_bg_CZtMKdIWUdM_000775_000785,eating ice cream,surfing water,surfing water,eating ice cream,playing bass guitar,archery,reading newspaper,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001359_brushing hair_to_playing volleyball_RnFhRlNPQik_000478_000488_bg_86c82gw-FlQ_000020_000030,brushing hair,playing volleyball,brushing hair,archery,punching person (boxing),playing accordion,playing volleyball,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001360_climbing a rope_to_smoking_U37wFpsVFOs_000004_000014_bg_LJLymFbDnmk_000155_000165,climbing a rope,smoking,smoking,climbing a rope,playing tennis,juggling soccer ball,eating cake,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001361_juggling soccer ball_to_juggling balls_g2_QEO0IdH8_000000_000010_bg_XlPoRfrrvNs_000000_000010,juggling soccer ball,juggling balls,hitting baseball,smoking,juggling soccer ball,playing saxophone,juggling balls,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001362_playing piano_to_eating cake_QK0rpdpN8oc_000087_000097_bg_wfwu32obskc_000031_000041,playing piano,eating cake,playing piano,brushing teeth,sword fighting,eating cake,flying kite,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001363_playing basketball_to_playing piano_0zTKKv_g0CY_000223_000233_bg_C9boKvSr3kU_000015_000025,playing basketball,playing piano,eating ice cream,playing piano,skiing slalom,playing basketball,hurdling,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001364_playing saxophone_to_playing violin_Y1NEWHZywDM_000008_000018_bg_GRt0r0SGP-g_000000_000010,playing saxophone,playing violin,climbing ladder,playing violin,playing saxophone,deadlifting,writing,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001365_playing tennis_to_walking the dog_b7SLPvwo2mA_000052_000062_bg_3bT1tscntAM_000211_000221,playing tennis,walking the dog,playing tennis,golf driving,walking the dog,dribbling basketball,deadlifting,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001366_golf driving_to_archery_AE3PRASrhY8_000001_000011_bg_2x1lIrgKxYo_000589_000599,golf driving,archery,archery,playing trumpet,cleaning windows,golf driving,hitting baseball,4,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001367_clean and jerk_to_brushing hair_egZqefmMHOQ_000076_000086_bg_6inRgsTHfPY_000325_000335,clean and jerk,brushing hair,clean and jerk,reading book,sweeping floor,brushing hair,playing volleyball,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001368_playing piano_to_walking the dog_-4c_tY98bNg_000053_000063_bg_hZ34EcXYuIU_000002_000012,playing piano,walking the dog,walking the dog,playing piano,playing trumpet,archery,driving car,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001369_flying kite_to_playing accordion_U6THcz2Qt3Q_000199_000209_bg_1gQkxY9-sL4_000006_000016,flying kite,playing accordion,playing accordion,eating cake,flying kite,punching person (boxing),tying tie,3,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_001370_eating cake_to_punching person (boxing)_d4IhT7ZcfJY_000001_000011_bg_Ogjo5L4kbtc_000045_000055,eating cake,punching person (boxing),eating cake,hitting baseball,punching person (boxing),dribbling basketball,opening bottle,1,3,C,False,True
